StationID,time,lat,lon,Wave_Height_Significant,Wave_Maximum_Height,Wave_Peak_Period,Wave_Mean_Period,Wind_Speed,Wind_Gust_Speed,Wind_Direction,Air_Pressure,Sea_Temperature,Current_Speed
Vector_NAMR_FB_SouthBaySmall,2026-05-30 05:00:00,21.94777,120.76463,0.2,,6.6,,10.5,12.39,52.2,1009.3,28.52,0.05
Vector_NAMR_FB_SouthBaySmall,2026-05-30 06:00:00,21.94777,120.76463,0.3,,6.4,,10.59,12.16,50,1009.7,28.35,0.04
Vector_NAMR_FB_SouthBaySmall,2026-05-30 07:00:00,21.94777,120.76463,0.3,,7.2,,9.25,12.31,59.5,1010.3,28.42,0.06
Vector_NAMR_FB_SouthBaySmall,2026-05-30 08:00:00,21.94777,120.76463,0.3,,6.7,,9.04,11.93,63.7,1010.5,28.43,0.04
Vector_NAMR_FB_SouthBaySmall,2026-05-30 09:00:00,21.94777,120.76463,0.3,,7.1,,9.82,12.5,55.3,1010.5,28.37,0.04
Vector_NAMR_FB_SouthBaySmall,2026-05-30 10:00:00,21.94777,120.76463,0.3,,5.8,,10.21,13.35,61.3,1010.5,28.39,0.05
Vector_NAMR_FB_SouthBaySmall,2026-05-30 11:00:00,21.94777,120.76463,0.3,,6.5,,9.58,13.22,60.9,1010.2,28.37,0.02
Vector_NAMR_FB_SouthBaySmall,2026-05-30 12:00:00,21.94777,120.76463,0.3,,6.6,,9.59,12.35,57.9,1009.8,28.39,0.05
Vector_NAMR_FB_SouthBaySmall,2026-05-30 13:00:00,21.94777,120.76463,0.3,,6.1,,9.92,12.48,43.4,1009,28.38,0.03
Vector_NAMR_FB_SouthBaySmall,2026-05-30 14:00:00,21.94777,120.76463,0.3,,6.4,,8.61,11.05,58.8,1009,28.43,0.08
Vector_NAMR_FB_SouthBaySmall,2026-05-30 15:00:00,21.94777,120.76463,0.2,,5.3,,7.89,9.62,57.7,1009.1,28.51,0.08
Vector_NAMR_FB_SouthBaySmall,2026-05-30 16:00:00,21.94777,120.76463,0.2,,6.2,,8.45,9.96,63.8,1008.5,28.79,0.08
Vector_NAMR_FB_SouthBaySmall,2026-05-30 17:00:00,21.94777,120.76463,0.2,,4.1,,9.87,12.89,54.8,1008.5,28.59,0.03
Vector_NAMR_FB_SouthBaySmall,2026-05-30 18:00:00,21.94777,120.76463,0.2,,6.4,,9.37,12.01,51.5,1008.9,28.57,0.02
Vector_NAMR_FB_SouthBaySmall,2026-05-30 19:00:00,21.94777,120.76463,0.2,,6.5,,8.41,10.74,63.1,1009.3,28.56,0.03
Vector_NAMR_FB_SouthBaySmall,2026-05-30 20:00:00,21.94777,120.76463,0.5,,5.4,,10.25,13.39,50.7,1009.6,28.53,0.07
Vector_NAMR_FB_SouthBaySmall,2026-05-30 21:00:00,21.94777,120.76463,0.5,,6.8,,10.63,13.98,46,1009.9,28.7,0.07
Vector_NAMR_FB_SouthBaySmall,2026-05-30 22:00:00,21.94777,120.76463,0.5,,4.9,,9.79,12.4,57.8,1010.5,29.56,0.11
Vector_NAMR_FB_SouthBaySmall,2026-05-30 23:00:00,21.94777,120.76463,0.4,,5,,11.05,15.35,61.9,1009.9,29.43,0.04
Vector_NAMR_FB_SouthBaySmall,2026-05-31 00:00:00,21.94777,120.76463,0.4,,4.3,,10.22,13.05,64.3,1009.1,29.53,0.04
Vector_NAMR_FB_SouthBaySmall,2026-05-31 01:00:00,21.94777,120.76463,0.4,,7.9,,8.8,12.94,68.1,1008.7,29.51,0.05
Vector_NAMR_FB_SouthBaySmall,2026-05-31 02:00:00,21.94777,120.76463,0.4,,5,,7.83,10.46,53.5,1008.3,29.52,0.01
Vector_NAMR_FB_DongjiNew,2026-05-29 00:00:00,23.23833,119.66411,0.5,,5.9,,2.43,2.86,249.4,1009.2,,
Vector_NAMR_FB_DongjiNew,2026-05-29 01:00:00,23.23833,119.66411,0.4,,5.2,,2.36,2.66,201.8,1009.2,,
Vector_NAMR_FB_DongjiNew,2026-05-29 02:00:00,23.23833,119.66411,0.4,,5.3,,2.3,2.47,206.3,1008.9,,
Vector_NAMR_FB_DongjiNew,2026-05-29 03:00:00,23.23833,119.66411,0.4,,5.2,,2.52,2.93,237.9,1008.9,,
Vector_NAMR_FB_DongjiNew,2026-05-29 04:00:00,23.23833,119.66411,0.4,,4.9,,3.09,3.77,309,1009.5,,
Vector_NAMR_FB_DongjiNew,2026-05-29 05:00:00,23.23833,119.66411,0.4,,6,,3.77,4.27,310.8,1009.4,,
Vector_NAMR_FB_DongjiNew,2026-05-29 06:00:00,23.23833,119.66411,0.3,,5.6,,3.43,4.1,337.8,1009.7,,
Vector_NAMR_FB_DongjiNew,2026-05-29 07:00:00,23.23833,119.66411,0.3,,5.8,,3.39,3.91,6.1,1009.9,,
Vector_NAMR_FB_DongjiNew,2026-05-29 08:00:00,23.23833,119.66411,0.3,,5.8,,2.86,3.36,44.1,1010.1,,
Vector_NAMR_FB_DongjiNew,2026-05-29 09:00:00,23.23833,119.66411,0.3,,5.1,,3.63,4.26,85.6,1010.1,,
Vector_NAMR_FB_DongjiNew,2026-05-29 10:00:00,23.23833,119.66411,0.3,,6.1,,3.68,4.21,83.5,1009.8,,
Vector_NAMR_FB_DongjiNew,2026-05-29 11:00:00,23.23833,119.66411,0.3,,5.6,,4.31,5.76,46.8,1009.5,,
Vector_NAMR_FB_DongjiNew,2026-05-29 12:00:00,23.23833,119.66411,0.3,,6.2,,4.98,5.88,28,1009,,
Vector_NAMR_FB_DongjiNew,2026-05-29 13:00:00,23.23833,119.66411,0.3,,5.9,,6.01,6.91,39.6,1008.6,,
Vector_NAMR_FB_DongjiNew,2026-05-29 14:00:00,23.23833,119.66411,0.4,,2.9,,5.33,6.08,41.8,1008,,
Vector_NAMR_FB_DongjiNew,2026-05-29 15:00:00,23.23833,119.66411,0.4,,4.7,,6.33,7.43,44.5,1007.2,,
Vector_NAMR_FB_DongjiNew,2026-05-29 16:00:00,23.23833,119.66411,0.4,,4.5,,7.61,9.7,48.4,1007,,
Vector_NAMR_FB_DongjiNew,2026-05-29 17:00:00,23.23833,119.66411,0.4,,5.1,,8.75,10.25,65.6,1007.1,,
Vector_NAMR_FB_DongjiNew,2026-05-29 18:00:00,23.23833,119.66411,0.5,,6.2,,7.08,9.43,70.2,1007.7,,
Vector_NAMR_FB_DongjiNew,2026-05-29 19:00:00,23.23833,119.66411,0.4,,6.7,,7.51,9.63,69.2,1008.5,,
Vector_NAMR_FB_DongjiNew,2026-05-29 20:00:00,23.23833,119.66411,0.5,,7.2,,7,8.52,61.3,1009,,
Vector_NAMR_FB_DongjiNew,2026-05-29 21:00:00,23.23833,119.66411,0.5,,5.6,,5.54,6.81,52.4,1009.9,,
Vector_NAMR_FB_DongjiNew,2026-05-29 22:00:00,23.23833,119.66411,0.5,,5.6,,6.99,8.4,71.8,1010.6,,
Vector_NAMR_FB_DongjiNew,2026-05-29 23:00:00,23.23833,119.66411,0.5,,6.1,,7.23,8.88,75.4,1009.9,,
Vector_NAMR_FB_DongjiNew,2026-05-30 00:00:00,23.23833,119.66411,0.7,,7.1,,6.6,8.03,44,1010,,
Vector_NAMR_FB_DongjiNew,2026-05-30 01:00:00,23.23833,119.66411,0.9,,6.6,,7.07,8.28,34.6,1009.6,,
Vector_NAMR_FB_DongjiNew,2026-05-30 02:00:00,23.23833,119.66411,0.8,,6.7,,8.15,9.24,44.2,1009.4,,
Vector_NAMR_FB_DongjiNew,2026-05-30 03:00:00,23.23833,119.66411,0.7,,6.6,,7.23,8.88,42.2,1008.6,,
Vector_NAMR_FB_DongjiNew,2026-05-30 04:00:00,23.23833,119.66411,0.6,,6.7,,7.21,8.85,54.9,1007.9,,
Vector_NAMR_FB_DongjiNew,2026-05-30 05:00:00,23.23833,119.66411,0.5,,4.7,,6.49,7.88,52.3,1008.4,,
Vector_NAMR_FB_DongjiNew,2026-05-30 06:00:00,23.23833,119.66411,0.6,,6.3,,5.16,6.42,60.4,1008.7,,
Vector_NAMR_FB_DongjiNew,2026-05-30 07:00:00,23.23833,119.66411,0.5,,6.6,,6.06,7.58,49.6,1009.4,,
Vector_NAMR_FB_DongjiNew,2026-05-30 08:00:00,23.23833,119.66411,0.5,,6.6,,6,6.83,52,1009.2,,
